"クラス名 : SampleClass"
"関数名 : sampleFunction"
,,"#1","#2","#3","#4","#5","#6","#7","#8","#9","#10","#11","#12","#13","#14","#15","#16","#17","#18","#19","#20","#21","#22","#23","#24","#25","#26","#27","#28","#29","#30","#31","#32"
"Condition","a <= 10","T","T","T","T","T","T","T","T","T","T","T","T","T","T","T","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"Condition","- 1 < a","T","T","T","T","T","T","T","T","F","F","F","F","F","F","F","F","T","T","T","T","T","T","T","T","F","F","F","F","F","F","F","F"
"Condition","b > 0","T","T","T","T","F","F","F","F","T","T","T","T","F","F","F","F","T","T","T","T","F","F","F","F","T","T","T","T","F","F","F","F"
"Condition","b <= - 3","T","T","F","F","T","T","F","F","T","T","F","F","T","T","F","F","T","T","F","F","T","T","F","F","T","T","F","F","T","T","F","F"
"Condition","a < 20","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F"
"Action","""a <= 10 and -1 < a""","T","T","T","T","T","T","T","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"Action","""a <= 10 and !(-1 > a) and b > 0""","F","F","F","F","F","F","F","F","T","T","T","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"Action","""a <= 10 and !(-1 > a) and !(b > 0)""","F","F","F","F","F","F","F","F","F","F","F","F","T","T","T","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"Action","""!(a <= 10) and b <= -3""","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","T","F","F","T","T","F","F","T","T","F","F","T","T","F","F"
"Action","""!(a <= 10) and !(b <= -3) and a < 20""","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","T","F","F","F","T","F","F","F","T","F"
"Action","""!(a <= 10) and !(b <= -3) and !(a < 20)""","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","T","F","F","F","T","F","F","F","T"



