"クラス名 : Sample"
"関数名 : SampleFunction"
,,"#1","#2","#3","#4","#5","#6","#7","#8","#9","#10","#11","#12","#13","#14","#15","#16"
"Condition","a < 5","T","T","T","T","T","T","T","T","F","F","F","F","F","F","F","F"
"Condition","a > 0","T","T","T","T","F","F","F","F","T","T","T","T","F","F","F","F"
"Condition","12 <= a","T","T","F","F","T","T","F","F","T","T","F","F","T","T","F","F"
"Condition","a < 20","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F"
"Action","""0 < a < 5""","T","T","T","T","F","F","F","F","F","F","F","F","F","F","F","F"
"Action","""a < 0""","F","F","F","F","T","T","T","T","F","F","F","F","F","F","F","F"
"Action","""12 <= a < 20""","F","F","F","F","F","F","F","F","T","F","F","F","T","F","F","F"
"Action","""20 <= a""","F","F","F","F","F","F","F","F","F","T","F","F","F","T","F","F"
"Action","""others""","F","F","F","F","F","F","F","F","F","F","T","T","F","F","T","T"



