"クラス名 : Sample"
"関数名 : SampleFunction"
,,"#1","#2","#3","#4","#5","#6","#7","#8","#9","#10","#11","#12","#13","#14","#15","#16"
"Condition","a < 5.3","T","T","T","T","T","T","T","T","F","F","F","F","F","F","F","F"
"Condition","a > 0.2","T","T","T","T","F","F","F","F","T","T","T","T","F","F","F","F"
"Condition","12.5 <= a","T","T","F","F","T","T","F","F","T","T","F","F","T","T","F","F"
"Condition","a < 20.9","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F"
"Action","""0.2 < a < 5.3""","T","T","T","T","F","F","F","F","F","F","F","F","F","F","F","F"
"Action","""a < 0.2""","F","F","F","F","T","T","T","T","F","F","F","F","F","F","F","F"
"Action","""12.5 <= a < 20.9""","F","F","F","F","F","F","F","F","T","F","F","F","T","F","F","F"
"Action","""20.9 <= a""","F","F","F","F","F","F","F","F","F","T","F","F","F","T","F","F"
"Action","""5.3<=a<12.5""","F","F","F","F","F","F","F","F","F","F","T","T","F","F","T","T"



