"クラス名 : Sample"
"関数名 : SampleFunction"
,,"#1","#2","#3","#4","#5","#6","#7","#8","#9","#10","#11","#12","#13","#14","#15","#16","#17","#18","#19","#20","#21","#22","#23","#24","#25","#26","#27","#28","#29","#30","#31","#32"
"Condition","a <= 10","T","T","T","T","T","T","T","T","T","T","T","T","T","T","T","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"Condition","- 1 < a","T","T","T","T","T","T","T","T","F","F","F","F","F","F","F","F","T","T","T","T","T","T","T","T","F","F","F","F","F","F","F","F"
"Condition","b > 5","T","T","T","T","F","F","F","F","T","T","T","T","F","F","F","F","T","T","T","T","F","F","F","F","T","T","T","T","F","F","F","F"
"Condition","b < - 3","T","T","F","F","T","T","F","F","T","T","F","F","T","T","F","F","T","T","F","F","T","T","F","F","T","T","F","F","T","T","F","F"
"Condition","a < 20","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F","T","F"
"Action","""-1<a<=10""","T","T","T","T","T","T","T","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"Action","""a<=-1 & 5<b""","F","F","F","F","F","F","F","F","T","T","T","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"Action","""a<=-1 & b<=5""","F","F","F","F","F","F","F","F","F","F","F","F","T","T","T","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"Action","""10<a & b<-3""","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","T","F","F","T","T","F","F","T","T","F","F","T","T","F","F"
"Action","""10<a<20 & -3<=b""","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","T","F","F","F","T","F","F","F","T","F"
"Action","""20<=a & -3<=b""","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","T","F","F","F","T","F","F","F","T"



