引数の個数:2

引数型:,第1引数:nat,第2引数:int,

テストケースNo. 入力データ  --> 期待出力データ
No.1,natMin-1,intMin-1,-->,"Undefined Action"
No.2,natMin-1,intMin,-->,"Undefined Action"
No.3,natMin-1,intMax,-->,"Undefined Action"
No.4,natMin-1,intMax+1,-->,"Undefined Action"
No.5,natMin-1,0,-->,"Undefined Action"
No.6,natMin-1,-1,-->,"Undefined Action"
No.7,natMin,intMin-1,-->,"Undefined Action"
No.8,natMin,intMin,-->," arg1:even arg2:negative"
No.9,natMin,intMax,-->," arg1:even arg2:positive"
No.10,natMin,intMax+1,-->,"Undefined Action"
No.11,natMin,0,-->," arg1:even arg2:positive"
No.12,natMin,-1,-->," arg1:even arg2:negative"
No.13,natMax,intMin-1,-->,"Undefined Action"
No.14,natMax,intMin,-->," arg1:odd arg2:negative"
No.15,natMax,intMax,-->," arg1:odd arg2:positive"
No.16,natMax,intMax+1,-->,"Undefined Action"
No.17,natMax,0,-->," arg1:odd arg2:positive"
No.18,natMax,-1,-->," arg1:odd arg2:negative"
No.19,natMax+1,intMin-1,-->,"Undefined Action"
No.20,natMax+1,intMin,-->,"Undefined Action"
No.21,natMax+1,intMax,-->,"Undefined Action"
No.22,natMax+1,intMax+1,-->,"Undefined Action"
No.23,natMax+1,0,-->,"Undefined Action"
No.24,natMax+1,-1,-->,"Undefined Action"
No.25,2,intMin-1,-->,"Undefined Action"
No.26,2,intMin,-->," arg1:even arg2:negative"
No.27,2,intMax,-->," arg1:even arg2:positive"
No.28,2,intMax+1,-->,"Undefined Action"
No.29,2,0,-->," arg1:even arg2:positive"
No.30,2,-1,-->," arg1:even arg2:negative"
No.31,1,intMin-1,-->,"Undefined Action"
No.32,1,intMin,-->," arg1:odd arg2:negative"
No.33,1,intMax,-->," arg1:odd arg2:positive"
No.34,1,intMax+1,-->,"Undefined Action"
No.35,1,0,-->," arg1:odd arg2:positive"
No.36,1,-1,-->," arg1:odd arg2:negative"
No.37,3,intMin-1,-->,"Undefined Action"
No.38,3,intMin,-->," arg1:odd arg2:negative"
No.39,3,intMax,-->," arg1:odd arg2:positive"
No.40,3,intMax+1,-->,"Undefined Action"
No.41,3,0,-->," arg1:odd arg2:positive"
No.42,3,-1,-->," arg1:odd arg2:negative"
